('wav2vec_large_en', 'librispeech_train', 0) {'mse': {'mean': 0.007295808976918382, 'std': 0.001363867785120294, 'alpha': 10}, 'r2': {'mean': -0.6942232150970418, 'std': 0.5142294669603359, 'alpha': 10}, 'pearson_r': {'mean': 0.03363007799321537, 'std': 0.0374778402524051, 'alpha': 0.1}}
('wav2vec_large_en', 'librispeech_train', 11) {'mse': {'mean': 0.007276271595893129, 'std': 0.001482619225873061, 'alpha': 10}, 'r2': {'mean': -0.6789782008015486, 'std': 0.4883274312266379, 'alpha': 10}, 'pearson_r': {'mean': 0.133617946108949, 'std': 0.030745141251333652, 'alpha': 1}}
('wav2vec_large_en', 'librispeech_train', 12) {'mse': {'mean': 0.007219056085796224, 'std': 0.001432649588866857, 'alpha': 10}, 'r2': {'mean': -0.6720132428830339, 'std': 0.5003695272103251, 'alpha': 10}, 'pearson_r': {'mean': 0.16263912017665694, 'std': 0.02935494159556829, 'alpha': 0.001}}
('wav2vec_large_en', 'librispeech_train', 13) {'mse': {'mean': 0.007227120396200229, 'std': 0.0014281174262378055, 'alpha': 10}, 'r2': {'mean': -0.6733986624722326, 'std': 0.4988427321883154, 'alpha': 10}, 'pearson_r': {'mean': 0.16698344569304663, 'std': 0.029891546727704766, 'alpha': 0.001}}
('wav2vec_large_en', 'librispeech_train', 14) {'mse': {'mean': 0.007178489078539875, 'std': 0.0014510175064994133, 'alpha': 10}, 'r2': {'mean': -0.6608116863537121, 'std': 0.4937562825009927, 'alpha': 10}, 'pearson_r': {'mean': 0.1743087134665889, 'std': 0.035318842230291816, 'alpha': 0.001}}
('wav2vec_large_en', 'librispeech_train', 15) {'mse': {'mean': 0.007073796018610988, 'std': 0.0014742042871128834, 'alpha': 10}, 'r2': {'mean': -0.6322434872905107, 'std': 0.4752223018603272, 'alpha': 10}, 'pearson_r': {'mean': 0.16633736889353673, 'std': 0.027830672855553493, 'alpha': 0.1}}
('wav2vec_large_en', 'librispeech_train', 16) {'mse': {'mean': 0.007178773505349295, 'std': 0.0014269213028887148, 'alpha': 10}, 'r2': {'mean': -0.6595797941862658, 'std': 0.48834625746991933, 'alpha': 10}, 'pearson_r': {'mean': 0.14747642459158136, 'std': 0.022224486817349544, 'alpha': 0.01}}
('wav2vec_large_en', 'librispeech_train', 17) {'mse': {'mean': 0.007169622377169565, 'std': 0.0014179793897653164, 'alpha': 10}, 'r2': {'mean': -0.657531037182012, 'std': 0.48927502520133775, 'alpha': 10}, 'pearson_r': {'mean': 0.1443944872981223, 'std': 0.02511894861073818, 'alpha': 0.01}}
('wav2vec_large_en', 'librispeech_train', 18) {'mse': {'mean': 0.007193921208008264, 'std': 0.001434940927872957, 'alpha': 10}, 'r2': {'mean': -0.6614857252579264, 'std': 0.48860607270232526, 'alpha': 10}, 'pearson_r': {'mean': 0.13263409467560863, 'std': 0.029973578321054684, 'alpha': 0.01}}
('wav2vec_large_en', 'librispeech_train', 19) {'mse': {'mean': 0.007216360714206458, 'std': 0.0014336909654731633, 'alpha': 10}, 'r2': {'mean': -0.6657861558344407, 'std': 0.48734340632770434, 'alpha': 10}, 'pearson_r': {'mean': 0.12975961838424058, 'std': 0.03921580626416097, 'alpha': 0.01}}
('wav2vec_large_en', 'librispeech_train', 20) {'mse': {'mean': 0.007208288148890277, 'std': 0.001439487029581821, 'alpha': 10}, 'r2': {'mean': -0.6590789577826365, 'std': 0.46949758531985464, 'alpha': 10}, 'pearson_r': {'mean': -0.10689488349544118, 'std': 0.056144813791859455, 'alpha': 0.01}}
('wav2vec_large_en', 'librispeech_train', 21) {'mse': {'mean': 0.007207923515890236, 'std': 0.001461241710877725, 'alpha': 10}, 'r2': {'mean': -0.658263418544733, 'std': 0.46906959790017383, 'alpha': 10}, 'pearson_r': {'mean': -0.10224689771278932, 'std': 0.04941921244208241, 'alpha': 0.1}}
('wav2vec_large_en', 'librispeech_train', 22) {'mse': {'mean': 0.0072179756715078066, 'std': 0.001457861510968895, 'alpha': 10}, 'r2': {'mean': -0.6614896197842574, 'std': 0.47231448329564957, 'alpha': 10}, 'pearson_r': {'mean': -0.09174680783899591, 'std': 0.053052223829735845, 'alpha': 10}}
('wav2vec_large_en', 'librispeech_train', 23) {'mse': {'mean': 0.007216923536691865, 'std': 0.0014395381022132543, 'alpha': 10}, 'r2': {'mean': -0.6650301612790513, 'std': 0.4855234285743777, 'alpha': 10}, 'pearson_r': {'mean': 0.06425492003873165, 'std': 0.04967141903449001, 'alpha': 1}}


('wav2vec_large_en', 'spokencoco_val', 0) {'mse': {'mean': 0.014072323062478399, 'std': 0.0051531849899557, 'alpha': 10}, 'r2': {'mean': -0.28184310142192887, 'std': 0.22801473871877745, 'alpha': 10}, 'pearson_r': {'mean': 0.006887918675600182, 'std': 0.015161975622968143, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 1) {'mse': {'mean': 0.014088359610123998, 'std': 0.005109885594940057, 'alpha': 10}, 'r2': {'mean': -0.2870754842019875, 'std': 0.23939396412828678, 'alpha': 10}, 'pearson_r': {'mean': 0.003920801476902062, 'std': 0.013187137583181449, 'alpha': 0.001}}
('wav2vec_large_en', 'spokencoco_val', 2) {'mse': {'mean': 0.014076855754981507, 'std': 0.005090535170062746, 'alpha': 10}, 'r2': {'mean': -0.28747626979562846, 'std': 0.2434503466516725, 'alpha': 10}, 'pearson_r': {'mean': 0.005425268217241474, 'std': 0.021415793887749675, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 3) {'mse': {'mean': 0.01396428654161111, 'std': 0.005197306338943011, 'alpha': 10}, 'r2': {'mean': -0.26783732522443504, 'std': 0.21546539959570898, 'alpha': 10}, 'pearson_r': {'mean': -0.01645253776565747, 'std': 0.025002775199758374, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 4) {'mse': {'mean': 0.013951347476507597, 'std': 0.005225469117233694, 'alpha': 10}, 'r2': {'mean': -0.26476549415206974, 'std': 0.2103777413820248, 'alpha': 10}, 'pearson_r': {'mean': -0.01638391017959794, 'std': 0.03329539030860331, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 5) {'mse': {'mean': 0.013934190680054834, 'std': 0.005204840448712531, 'alpha': 10}, 'r2': {'mean': -0.2631742751267333, 'std': 0.20861131055643745, 'alpha': 0.001}, 'pearson_r': {'mean': -0.024709076688024828, 'std': 0.029370615686248238, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 6) {'mse': {'mean': 0.013946069692506521, 'std': 0.005208435430864624, 'alpha': 10}, 'r2': {'mean': -0.2646580848007116, 'std': 0.2104827001550979, 'alpha': 10}, 'pearson_r': {'mean': -0.021615814661563426, 'std': 0.032468488600471045, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 7) {'mse': {'mean': 0.014004605962545717, 'std': 0.005173278688293718, 'alpha': 10}, 'r2': {'mean': -0.2747567257040765, 'std': 0.2259667703633516, 'alpha': 10}, 'pearson_r': {'mean': -0.038499566179058496, 'std': 0.0395147622716264, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 8) {'mse': {'mean': 0.014051087507893498, 'std': 0.005199383510563198, 'alpha': 10}, 'r2': {'mean': -0.27857211540757254, 'std': 0.22564919502454403, 'alpha': 10}, 'pearson_r': {'mean': -0.043045699077545393, 'std': 0.04342760664626724, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 9) {'mse': {'mean': 0.014022011857221756, 'std': 0.005231038629091022, 'alpha': 10}, 'r2': {'mean': -0.2725719494859484, 'std': 0.2148884145344749, 'alpha': 10}, 'pearson_r': {'mean': -0.07346298643741343, 'std': 0.05757008298849259, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 10) {'mse': {'mean': 0.014050588772962617, 'std': 0.005197157139247728, 'alpha': 10}, 'r2': {'mean': -0.27735694704290886, 'std': 0.2206047210499983, 'alpha': 10}, 'pearson_r': {'mean': -0.08730969001128075, 'std': 0.06358429765350078, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 11) {'mse': {'mean': 0.014014940015745658, 'std': 0.005022812864352513, 'alpha': 10}, 'r2': {'mean': -0.28366252701209216, 'std': 0.24662456074905406, 'alpha': 10}, 'pearson_r': {'mean': 0.10719703834376522, 'std': 0.07544084012864559, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 12) {'mse': {'mean': 0.014073666242156285, 'std': 0.004920095091272064, 'alpha': 10}, 'r2': {'mean': -0.2935522453480412, 'std': 0.25709093349469186, 'alpha': 10}, 'pearson_r': {'mean': 0.17027203924976883, 'std': 0.09885589198756044, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 13) {'mse': {'mean': 0.013673531014613905, 'std': 0.004467751137524843, 'alpha': 10}, 'r2': {'mean': -0.26804367243659954, 'std': 0.27674310312009226, 'alpha': 10}, 'pearson_r': {'mean': 0.2266988677525291, 'std': 0.108018100603143, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 14) {'mse': {'mean': 0.013590893518614356, 'std': 0.004463722390343446, 'alpha': 10}, 'r2': {'mean': -0.2555565388676151, 'std': 0.2611929817222993, 'alpha': 10}, 'pearson_r': {'mean': 0.22876298045861204, 'std': 0.1086543594958811, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 15) {'mse': {'mean': 0.013798200077516785, 'std': 0.004697998103554774, 'alpha': 10}, 'r2': {'mean': -0.2716193830850918, 'std': 0.2640920133314078, 'alpha': 10}, 'pearson_r': {'mean': 0.20303475460966566, 'std': 0.12087613332636296, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 16) {'mse': {'mean': 0.013981283980032257, 'std': 0.0048611737632776155, 'alpha': 10}, 'r2': {'mean': -0.2919639002607021, 'std': 0.2832626981876281, 'alpha': 10}, 'pearson_r': {'mean': 0.16360789490409022, 'std': 0.09860022830477475, 'alpha': 0.001}}
('wav2vec_large_en', 'spokencoco_val', 17) {'mse': {'mean': 0.013967354854914248, 'std': 0.00493192650775524, 'alpha': 10}, 'r2': {'mean': -0.2865128503153446, 'std': 0.27292532085988935, 'alpha': 10}, 'pearson_r': {'mean': 0.15499195191489312, 'std': 0.09721067797681376, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 18) {'mse': {'mean': 0.014004763933966002, 'std': 0.005022041743050247, 'alpha': 10}, 'r2': {'mean': -0.2840716414639484, 'std': 0.2529602276856307, 'alpha': 10}, 'pearson_r': {'mean': 0.12411292136494283, 'std': 0.07788569356204483, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 19) {'mse': {'mean': 0.01401843425828884, 'std': 0.005098554771965897, 'alpha': 10}, 'r2': {'mean': -0.28022858350486246, 'std': 0.23684993571975865, 'alpha': 10}, 'pearson_r': {'mean': 0.11602133214549495, 'std': 0.06920790950666382, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 20) {'mse': {'mean': 0.013950849817242419, 'std': 0.005401503115717888, 'alpha': 10}, 'r2': {'mean': -0.25663806976995795, 'std': 0.1926572117834622, 'alpha': 0.001}, 'pearson_r': {'mean': -0.10078202428572243, 'std': 0.05524459121985165, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 21) {'mse': {'mean': 0.013992931704531081, 'std': 0.005513730808711571, 'alpha': 10}, 'r2': {'mean': -0.25837838333491553, 'std': 0.1938339954239131, 'alpha': 0.001}, 'pearson_r': {'mean': -0.0919550969743937, 'std': 0.044858211782337246, 'alpha': 0.001}}
('wav2vec_large_en', 'spokencoco_val', 22) {'mse': {'mean': 0.014010908307410785, 'std': 0.005440686127687252, 'alpha': 10}, 'r2': {'mean': -0.2634953929621412, 'std': 0.20125372905313837, 'alpha': 10}, 'pearson_r': {'mean': -0.08637002731908514, 'std': 0.04544032991130046, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 23) {'mse': {'mean': 0.01404166513880833, 'std': 0.005277329443567116, 'alpha': 10}, 'r2': {'mean': -0.2723642935300571, 'std': 0.2115627435723015, 'alpha': 10}, 'pearson_r': {'mean': -0.01695210189665338, 'std': 0.08268342918497677, 'alpha': 0.01}}
