('fast_vgs_plus', 'librispeech_train', 0, '0.5', 0.047057659376812555, 3.3870144727772116e-08)
('wav2vec_small', 'spokencoco_val', 8, '0.5', -0.007113519187017086, 0.4302704515015352)
('wav2vec_small', 'spokencoco_val', 9, '0.5', -0.00937621066768466, 0.29851642640386483)
('wav2vec_small', 'spokencoco_val', 10, '0.5', -0.0025455207308270156, 0.7777612073648926)
('wav2vec_small', 'spokencoco_val', 11, '0.5', -0.007644601788843787, 0.3966520348894407)
('fast_vgs', 'librispeech_train', 0, '0.5', 0.04467542339097892, 1.6021429953810482e-07)
('fast_vgs', 'librispeech_train', 1, '0.5', 0.08256097075222141, 3.1323266189378554e-22)
('fast_vgs', 'librispeech_train', 2, '0.5', 0.08031919723875501, 4.024962035442023e-21)
('fast_vgs', 'librispeech_train', 3, '0.5', 0.0909247843208662, 1.2323009107056522e-26)
('fast_vgs', 'librispeech_train', 4, '0.5', 0.09685261626466124, 5.147629718201995e-30)
('fast_vgs', 'librispeech_train', 5, '0.5', 0.09840740468073288, 6.1643872558526915e-31)
('fast_vgs', 'librispeech_train', 6, '0.5', 0.10060011414099053, 2.916874772349659e-32)
('fast_vgs', 'librispeech_train', 7, '0.5', 0.09394686894575992, 2.481491566367867e-28)
('fast_vgs', 'librispeech_train', 8, '0.5', 0.12098568046502653, 5.412767602519845e-46)
('fast_vgs', 'librispeech_train', 9, '0.5', 0.12127473931963499, 3.313255038780705e-46)
('fast_vgs', 'librispeech_train', 10, '0.5', 0.12478008690756953, 7.832810326795776e-49)
('fast_vgs', 'librispeech_train', 11, '0.5', 0.12576656785237444, 1.3836245516058934e-49)
('fast_vgs', 'librispeech_train', 12, '0.5', 0.1237263102458518, 4.914533777432189e-48)
('wav2vec_random', 'librispeech_train', 0, '0.5', 0.04533583440391632, 1.0493595591161041e-07)
('wav2vec_random', 'librispeech_train', 1, '0.5', 0.04504740083148929, 1.2632848466379997e-07)
('wav2vec_random', 'librispeech_train', 2, '0.5', 0.045176718104447317, 1.1626128383655191e-07)
('wav2vec_random', 'librispeech_train', 3, '0.5', 0.04542698113883627, 9.893744003697554e-08)
('wav2vec_random', 'librispeech_train', 4, '0.5', 0.045739009868254396, 8.081278370073223e-08)
('wav2vec_random', 'librispeech_train', 5, '0.5', 0.04649794535466904, 4.9131513041444746e-08)
('wav2vec_random', 'librispeech_train', 6, '0.5', 0.046724088622436336, 4.22972025732708e-08)
('wav2vec_random', 'librispeech_train', 7, '0.5', 0.04701547903116352, 3.483812688672804e-08)
('wav2vec_random', 'librispeech_train', 8, '0.5', 0.046561717782121724, 4.710279683591536e-08)
('wav2vec_random', 'librispeech_train', 9, '0.5', 0.04616628471187229, 6.112512880878465e-08)
('wav2vec_random', 'librispeech_train', 10, '0.5', 0.04697229648853444, 3.585688319890587e-08)
('wav2vec_random', 'librispeech_train', 11, '0.5', 0.047728280575844204, 2.1570149417247194e-08)
('hubert_base_ls960', 'librispeech_train', 0, '0.5', 0.0651620334066511, 2.0444094874651082e-14)
('hubert_base_ls960', 'librispeech_train', 1, '0.5', 0.07594967199707725, 4.777408158639832e-19)
('hubert_base_ls960', 'librispeech_train', 2, '0.5', 0.08206037808355782, 5.573309665998847e-22)
('hubert_base_ls960', 'librispeech_train', 3, '0.5', 0.08637165810714852, 3.477804378017737e-24)
('hubert_base_ls960', 'librispeech_train', 4, '0.5', 0.08604946254781272, 5.128153446736257e-24)
('hubert_base_ls960', 'librispeech_train', 5, '0.5', 0.09279561740994798, 1.1151762411243528e-27)
('hubert_base_ls960', 'librispeech_train', 6, '0.5', 0.10301636130261427, 9.350394919411867e-34)
('hubert_base_ls960', 'librispeech_train', 7, '0.5', 0.11889110081562489, 1.83045489011323e-44)
('hubert_base_ls960', 'librispeech_train', 8, '0.5', 0.13147038729857777, 4.662968701766413e-54)
('hubert_base_ls960', 'librispeech_train', 9, '0.5', 0.12881493003906125, 5.9716648185004924e-52)
('hubert_base_ls960', 'librispeech_train', 10, '0.5', 0.10955312472918757, 5.616107017487545e-38)
('hubert_base_ls960', 'librispeech_train', 11, '0.5', 0.111684982135154, 2.0696400947905377e-39)
('fast_vgs', 'spokencoco_val', 0, '0.5', -0.01914168447939048, 0.033791666790768254)
('fast_vgs', 'spokencoco_val', 1, '0.5', -0.025967278780573425, 0.0039813578575238935)
('fast_vgs', 'spokencoco_val', 2, '0.5', -0.015929536340559852, 0.07734280874752279)
('fast_vgs', 'spokencoco_val', 3, '0.5', -0.017418969043889097, 0.05342209787271523)
('fast_vgs', 'spokencoco_val', 4, '0.5', -0.003442603538966914, 0.7026813503642715)
('fast_vgs', 'spokencoco_val', 5, '0.5', 0.016583739112168348, 0.06593489111603813)
('fast_vgs', 'spokencoco_val', 6, '0.5', 0.04816263451045528, 9.132812828566918e-08)
('fast_vgs', 'spokencoco_val', 7, '0.5', 0.07867707744217829, 2.394898734589188e-18)
('fast_vgs', 'spokencoco_val', 8, '0.5', 0.11368025525808066, 1.1857606854165392e-36)
('fast_vgs', 'spokencoco_val', 9, '0.5', 0.14680593076325663, 3.3446558023085665e-60)
('fast_vgs', 'spokencoco_val', 10, '0.5', 0.1460698428179319, 1.3021187041263606e-59)
('fast_vgs', 'spokencoco_val', 11, '0.5', 0.13982192957715012, 1.0035380392695178e-54)
('fast_vgs', 'spokencoco_val', 12, '0.5', 0.14925246208998724, 3.4694613254171927e-62)
('fast_vgs_plus', 'spokencoco_val', 0, '0.5', -0.019600280002141965, 0.029749433210009463)
('fast_vgs_plus', 'spokencoco_val', 1, '0.5', -0.0176635538407601, 0.05015754118871289)
('fast_vgs_plus', 'spokencoco_val', 2, '0.5', -0.014061302251690264, 0.11896352664473756)
('fast_vgs_plus', 'spokencoco_val', 3, '0.5', -0.008823719155493437, 0.3278971786162902)
('fast_vgs_plus', 'spokencoco_val', 4, '0.5', -0.008268656261319196, 0.3592413342521815)
('fast_vgs_plus', 'spokencoco_val', 5, '0.5', -0.002083155057590455, 0.8173363453678689)
('fast_vgs_plus', 'spokencoco_val', 6, '0.5', 0.026856256022989928, 0.002898966644966592)
('fast_vgs_plus', 'spokencoco_val', 7, '0.5', 0.07299487130373408, 5.309558059478766e-16)
('fast_vgs_plus', 'spokencoco_val', 8, '0.5', 0.12630045962942058, 6.685674185258983e-45)
('fast_vgs_plus', 'spokencoco_val', 9, '0.5', 0.0020353084635186145, 0.8214602621827507)
('fast_vgs_plus', 'spokencoco_val', 10, '0.5', -0.017459780357772115, 0.05286535415468639)
('fast_vgs_plus', 'spokencoco_val', 11, '0.5', -0.015529638687894554, 0.0850751462978165)
('fast_vgs_plus', 'spokencoco_val', 12, '0.5', -0.014481755857682016, 0.10832573283980232)
('wav2vec_small', 'librispeech_train', 0, '0.5', 0.06692899935042583, 3.97718836847791e-15)
('wav2vec_small', 'librispeech_train', 1, '0.5', 0.07038114598960023, 1.434722128262101e-16)
('wav2vec_small', 'librispeech_train', 2, '0.5', 0.07988857171744411, 6.5208400797310984e-21)
('wav2vec_small', 'librispeech_train', 3, '0.5', 0.08174168999976779, 8.028563992829881e-22)
('wav2vec_small', 'librispeech_train', 4, '0.5', 0.09237922838454644, 1.91163656807297e-27)
('wav2vec_small', 'librispeech_train', 5, '0.5', 0.10467344769509725, 8.423751599178638e-35)
('wav2vec_small', 'librispeech_train', 6, '0.5', 0.11912541569853528, 1.2383696380369646e-44)
('wav2vec_small', 'librispeech_train', 7, '0.5', 0.11275408186992872, 3.858758392165611e-40)
('wav2vec_small', 'librispeech_train', 8, '0.5', 0.08415836393657951, 4.866516284161136e-23)
('wav2vec_small', 'librispeech_train', 9, '0.5', 0.07729327349613001, 1.1312025009250035e-19)
('wav2vec_small', 'librispeech_train', 10, '0.5', 0.06918869312678894, 4.60460873076062e-16)
('wav2vec_small', 'librispeech_train', 11, '0.5', 0.07362945924090289, 5.421169862924292e-18)
('hubert_base_ls960', 'spokencoco_val', 0, '0.5', -0.00785523325060095, 0.3837701375515199)
('hubert_base_ls960', 'spokencoco_val', 1, '0.5', -0.007608655378915492, 0.39887624096831537)
('hubert_base_ls960', 'spokencoco_val', 2, '0.5', -0.0033230179463369053, 0.7125420865301021)
('hubert_base_ls960', 'spokencoco_val', 3, '0.5', -0.007097316086695828, 0.43132147894656053)
('hubert_base_ls960', 'spokencoco_val', 4, '0.5', -0.0023030701372257693, 0.7984484028585099)
('hubert_base_ls960', 'spokencoco_val', 5, '0.5', 0.009548174227077922, 0.28974187652053257)
('hubert_base_ls960', 'spokencoco_val', 6, '0.5', 0.02385911143283416, 0.0081502612076821)
('hubert_base_ls960', 'spokencoco_val', 7, '0.5', 0.03462667161319541, 0.00012282379528360767)
('hubert_base_ls960', 'spokencoco_val', 8, '0.5', 0.04723724935948664, 1.6022440025434516e-07)
('hubert_base_ls960', 'spokencoco_val', 9, '0.5', 0.0355412112407647, 8.08337381836441e-05)
('hubert_base_ls960', 'spokencoco_val', 10, '0.5', 0.02345561478602111, 0.009294598113481042)
('hubert_base_ls960', 'spokencoco_val', 11, '0.5', 0.012097547487952845, 0.1797979368677769)
('fast_vgs_plus', 'librispeech_train', 0, '0.5', 0.03866357481147288, 5.769648468964645e-06)
('fast_vgs_plus', 'librispeech_train', 1, '0.5', 0.06633532020172052, 6.926851435794759e-15)
('fast_vgs_plus', 'librispeech_train', 2, '0.5', 0.06559780542477055, 1.3707232024909874e-14)
('fast_vgs_plus', 'librispeech_train', 3, '0.5', 0.0694802394610691, 3.468647060806331e-16)
('fast_vgs_plus', 'librispeech_train', 4, '0.5', 0.08208134375939209, 5.440800054592753e-22)
('fast_vgs_plus', 'librispeech_train', 5, '0.5', 0.09239961652828228, 1.8619551624138832e-27)
('fast_vgs_plus', 'librispeech_train', 6, '0.5', 0.10264905243533384, 1.5858366159176896e-33)
('fast_vgs_plus', 'librispeech_train', 7, '0.5', 0.11332766658864799, 1.5566263926262178e-40)
('fast_vgs_plus', 'librispeech_train', 8, '0.5', 0.11554733873646643, 4.4392839471610365e-42)
('fast_vgs_plus', 'librispeech_train', 9, '0.5', 0.08416411071110413, 4.833716505208666e-23)
('fast_vgs_plus', 'librispeech_train', 10, '0.5', 0.08213891767270555, 5.092736772128463e-22)
('fast_vgs_plus', 'librispeech_train', 11, '0.5', 0.07771394331144017, 7.168437205579674e-20)
('fast_vgs_plus', 'librispeech_train', 12, '0.5', 0.0825541052912779, 3.157252438788068e-22)
('wav2vec_random', 'spokencoco_val', 0, '0.5', -0.029305924025654285, 0.00115395556809722)
('wav2vec_random', 'spokencoco_val', 1, '0.5', -0.029257651737908907, 0.001175877943047429)
('wav2vec_random', 'spokencoco_val', 2, '0.5', -0.029547602389448507, 0.0010497693392216277)
('wav2vec_random', 'spokencoco_val', 3, '0.5', -0.03015781863825143, 0.0008241894041853492)
('wav2vec_random', 'spokencoco_val', 4, '0.5', -0.029799470998829597, 0.0009505039968980123)
('wav2vec_random', 'spokencoco_val', 5, '0.5', -0.03108672336837859, 0.0005655774207391494)
('wav2vec_random', 'spokencoco_val', 6, '0.5', -0.03138550709454557, 0.0004999957048403358)
('wav2vec_random', 'spokencoco_val', 7, '0.5', -0.03176495076296583, 0.00042691453580573086)
('wav2vec_random', 'spokencoco_val', 8, '0.5', -0.03164113363596436, 0.00044958744601286194)
('wav2vec_random', 'spokencoco_val', 9, '0.5', -0.030732784851995616, 0.0006536059303709748)
('wav2vec_random', 'spokencoco_val', 10, '0.5', -0.031156906958817298, 0.0005494895778337513)
('wav2vec_random', 'spokencoco_val', 11, '0.5', -0.030472808921646482, 0.0007262053958276681)
('wav2vec_small', 'spokencoco_val', 0, '0.5', -0.01808288096787898, 0.044949955713519854)
('wav2vec_small', 'spokencoco_val', 1, '0.5', -0.012735762131675972, 0.15790628388065553)
('wav2vec_small', 'spokencoco_val', 2, '0.5', -0.012663014794968237, 0.16029459981987568)
('wav2vec_small', 'spokencoco_val', 3, '0.5', -0.012078483757374794, 0.18048490608949885)
('wav2vec_small', 'spokencoco_val', 4, '0.5', -0.008039716721123292, 0.37270040933745313)
('wav2vec_small', 'spokencoco_val', 5, '0.5', -6.62811652980197e-05, 0.9941364037145615)
('wav2vec_small', 'spokencoco_val', 6, '0.5', 0.009817398628598983, 0.27635648835678495)
('wav2vec_small', 'spokencoco_val', 7, '0.5', 0.006318121460470693, 0.4835930141764172)
('wav2vec_small', 'spokencoco_val', 8, '0.5', -0.0065056254977094476, 0.4707091264435288)
('wav2vec_small', 'spokencoco_val', 9, '0.5', -0.009668160201333879, 0.28372338607429576)
('wav2vec_small', 'spokencoco_val', 10, '0.5', -0.008256578051839516, 0.35994367427422885)
('wav2vec_small', 'spokencoco_val', 11, '0.5', -0.014568850431892691, 0.10621924928684132)
('fast_vgs', 'librispeech_train', 0, '0.5', 0.03326812675485488, 9.560829299239884e-05)
('fast_vgs', 'librispeech_train', 1, '0.5', 0.07435285212332596, 2.562487532242326e-18)
('fast_vgs', 'librispeech_train', 2, '0.5', 0.07207672016358829, 2.642600633560709e-17)
('fast_vgs', 'librispeech_train', 3, '0.5', 0.07825359975156715, 3.978447152522888e-20)
('fast_vgs', 'librispeech_train', 4, '0.5', 0.08447284641827105, 3.3589403927570317e-23)
('fast_vgs', 'librispeech_train', 5, '0.5', 0.09219418411462742, 2.427084030379151e-27)
('fast_vgs', 'librispeech_train', 6, '0.5', 0.09646224799238856, 8.723930418782866e-30)
('fast_vgs', 'librispeech_train', 7, '0.5', 0.09661095905654307, 7.137465924924354e-30)
('fast_vgs', 'librispeech_train', 8, '0.5', 0.10700004110604992, 2.687959407088385e-36)
('fast_vgs', 'librispeech_train', 9, '0.5', 0.11104964673953456, 5.572453824711678e-39)
('fast_vgs', 'librispeech_train', 10, '0.5', 0.11547490373501787, 4.991229709884582e-42)
('fast_vgs', 'librispeech_train', 11, '0.5', 0.11351633974272542, 1.153593784310116e-40)
('fast_vgs', 'librispeech_train', 12, '0.5', 0.1102316225508016, 1.9779923501910243e-38)
('wav2vec_random', 'librispeech_train', 0, '0.5', 0.05162883826402683, 1.3862613535644064e-09)
('wav2vec_random', 'librispeech_train', 1, '0.5', 0.05222628178426069, 8.940885972188877e-10)
('wav2vec_random', 'librispeech_train', 2, '0.5', 0.05313450717676085, 4.5479704774452e-10)
('wav2vec_random', 'librispeech_train', 3, '0.5', 0.05328857462821999, 4.050767430500331e-10)
('wav2vec_random', 'librispeech_train', 4, '0.5', 0.05399232744676998, 2.377323134640838e-10)
('wav2vec_random', 'librispeech_train', 5, '0.5', 0.054726986479887746, 1.353198790088066e-10)
('wav2vec_random', 'librispeech_train', 6, '0.5', 0.055871073190600876, 5.5451106602291296e-11)
('wav2vec_random', 'librispeech_train', 7, '0.5', 0.05670029060551789, 2.8725119640855317e-11)
('wav2vec_random', 'librispeech_train', 8, '0.5', 0.055991389693195254, 5.043307922501062e-11)
('wav2vec_random', 'librispeech_train', 9, '0.5', 0.05577389377359823, 5.985779852484833e-11)
('wav2vec_random', 'librispeech_train', 10, '0.5', 0.05623131524923387, 4.171700164539992e-11)
('wav2vec_random', 'librispeech_train', 11, '0.5', 0.0560939207602345, 4.650962036369869e-11)
('hubert_base_ls960', 'librispeech_train', 0, '0.5', 0.05624931894224783, 4.1125956357398146e-11)
('hubert_base_ls960', 'librispeech_train', 1, '0.5', 0.06684026156678492, 4.322412231637915e-15)
('hubert_base_ls960', 'librispeech_train', 2, '0.5', 0.0708764013812199, 8.788986645450723e-17)
('hubert_base_ls960', 'librispeech_train', 3, '0.5', 0.07526981926799485, 9.809285709055197e-19)
('hubert_base_ls960', 'librispeech_train', 4, '0.5', 0.07425961426430182, 2.823466344051474e-18)
('hubert_base_ls960', 'librispeech_train', 5, '0.5', 0.08430433571144827, 4.0978356270907284e-23)
('hubert_base_ls960', 'librispeech_train', 6, '0.5', 0.09233818600176497, 2.015668690029577e-27)
('hubert_base_ls960', 'librispeech_train', 7, '0.5', 0.10779443273883597, 8.146839406094033e-37)
('hubert_base_ls960', 'librispeech_train', 8, '0.5', 0.11775358837483699, 1.2066928039916984e-43)
('hubert_base_ls960', 'librispeech_train', 9, '0.5', 0.11317096037327345, 1.9957247095463075e-40)
('hubert_base_ls960', 'librispeech_train', 10, '0.5', 0.09677884550397405, 5.688190292743437e-30)
('hubert_base_ls960', 'librispeech_train', 11, '0.5', 0.09842001009557103, 6.058384604081632e-31)
('fast_vgs', 'spokencoco_val', 0, '0.5', -0.017602481161269147, 0.05095662022339857)
('fast_vgs', 'spokencoco_val', 1, '0.5', -0.035005531407366834, 0.00010340285684275362)
('fast_vgs', 'spokencoco_val', 2, '0.5', -0.030517370989745354, 0.0007132517120678959)
('fast_vgs', 'spokencoco_val', 3, '0.5', -0.027655379958339825, 0.0021628684243945027)
('fast_vgs', 'spokencoco_val', 4, '0.5', -0.018763684126176974, 0.0374681095896435)
('fast_vgs', 'spokencoco_val', 5, '0.5', 0.0021530076828047747, 0.8113248172430623)
('fast_vgs', 'spokencoco_val', 6, '0.5', 0.03166366685551108, 0.00044537935836244755)
('fast_vgs', 'spokencoco_val', 7, '0.5', 0.06806283079259275, 4.1789457253225216e-14)
('fast_vgs', 'spokencoco_val', 8, '0.5', 0.1052850044943046, 1.185658093021735e-31)
('fast_vgs', 'spokencoco_val', 9, '0.5', 0.13834007842295323, 1.3434681994347534e-53)
('fast_vgs', 'spokencoco_val', 10, '0.5', 0.1384011018584046, 1.2080193240362624e-53)
('fast_vgs', 'spokencoco_val', 11, '0.5', 0.12983442799138517, 2.272576041791006e-47)
('fast_vgs', 'spokencoco_val', 12, '0.5', 0.14012607446503297, 5.871542775840802e-55)
('fast_vgs_plus', 'spokencoco_val', 0, '0.5', -0.019610167611631653, 0.029667069573092945)
('fast_vgs_plus', 'spokencoco_val', 1, '0.5', -0.028281880749462883, 0.0017102948480379324)
('fast_vgs_plus', 'spokencoco_val', 2, '0.5', -0.01971272562068825, 0.028824263740275427)
('fast_vgs_plus', 'spokencoco_val', 3, '0.5', -0.01605373507218809, 0.07506130713921717)
('fast_vgs_plus', 'spokencoco_val', 4, '0.5', -0.01383793668280605, 0.12493882228851394)
('fast_vgs_plus', 'spokencoco_val', 5, '0.5', -0.004495719360150323, 0.6181527001294016)
('fast_vgs_plus', 'spokencoco_val', 6, '0.5', 0.02120154492288833, 0.01872263448393384)
('fast_vgs_plus', 'spokencoco_val', 7, '0.5', 0.06602676007381081, 2.322493776208002e-13)
('fast_vgs_plus', 'spokencoco_val', 8, '0.5', 0.11521352408698954, 1.3149200109344605e-37)
('fast_vgs_plus', 'spokencoco_val', 9, '0.5', -0.002966719183942112, 0.7422019094608634)
('fast_vgs_plus', 'spokencoco_val', 10, '0.5', -0.022642966085564296, 0.012042902986888674)
('fast_vgs_plus', 'spokencoco_val', 11, '0.5', -0.024296525211843983, 0.007053651554576284)
('fast_vgs_plus', 'spokencoco_val', 12, '0.5', -0.022619117540877927, 0.012133441899126872)
('wav2vec_small', 'librispeech_train', 0, '0.5', 0.0539934519958188, 2.3752867284847903e-10)
('wav2vec_small', 'librispeech_train', 1, '0.5', 0.05852996763265979, 6.510281121022016e-12)
('wav2vec_small', 'librispeech_train', 2, '0.5', 0.06950679600644621, 3.3800880306549017e-16)
('wav2vec_small', 'librispeech_train', 3, '0.5', 0.07404967802379321, 3.511009126848448e-18)
('wav2vec_small', 'librispeech_train', 4, '0.5', 0.08472864926930754, 2.481931920989878e-23)
('wav2vec_small', 'librispeech_train', 5, '0.5', 0.09352381017726417, 4.319927238322827e-28)
('wav2vec_small', 'librispeech_train', 6, '0.5', 0.1051114250053071, 4.4300449456776763e-35)
('wav2vec_small', 'librispeech_train', 7, '0.5', 0.09790281337301093, 1.2320845561559586e-30)
('wav2vec_small', 'librispeech_train', 8, '0.5', 0.06995494537205035, 2.1814612557948824e-16)
('wav2vec_small', 'librispeech_train', 9, '0.5', 0.06275465879867724, 1.7755769207567356e-13)
('wav2vec_small', 'librispeech_train', 10, '0.5', 0.06513403395582942, 2.097416268715941e-14)
('wav2vec_small', 'librispeech_train', 11, '0.5', 0.07087569063422287, 8.795191279500438e-17)
('hubert_base_ls960', 'spokencoco_val', 0, '0.5', -0.014258661736573728, 0.11387242323547692)
('hubert_base_ls960', 'spokencoco_val', 1, '0.5', -0.022007439496898037, 0.01467126521662228)
('hubert_base_ls960', 'spokencoco_val', 2, '0.5', -0.016994770435772907, 0.0595042380769773)
('hubert_base_ls960', 'spokencoco_val', 3, '0.5', -0.014077656258480108, 0.11853499177807375)
('hubert_base_ls960', 'spokencoco_val', 4, '0.5', -0.0108256569635893, 0.23000680524692377)
('hubert_base_ls960', 'spokencoco_val', 5, '0.5', -0.0035626984774675356, 0.6928287088260393)
('hubert_base_ls960', 'spokencoco_val', 6, '0.5', 0.011631708746389541, 0.19714732765626689)
('hubert_base_ls960', 'spokencoco_val', 7, '0.5', 0.020399206945942168, 0.023696230424637248)
('hubert_base_ls960', 'spokencoco_val', 8, '0.5', 0.03831170583647844, 2.1433347427540702e-05)
('hubert_base_ls960', 'spokencoco_val', 9, '0.5', 0.028539898626302206, 0.0015506371913287657)
('hubert_base_ls960', 'spokencoco_val', 10, '0.5', 0.02032752107496351, 0.024191873793470892)
('hubert_base_ls960', 'spokencoco_val', 11, '0.5', 0.006910112492451958, 0.4435720788347173)
('fast_vgs_plus', 'librispeech_train', 0, '0.5', 0.03559457613704897, 2.986757053078705e-05)
('fast_vgs_plus', 'librispeech_train', 1, '0.5', 0.060340522756157554, 1.4327523202372462e-12)
('fast_vgs_plus', 'librispeech_train', 2, '0.5', 0.06271834154148484, 1.8333181256792993e-13)
('fast_vgs_plus', 'librispeech_train', 3, '0.5', 0.06958507684697468, 3.131804072159805e-16)
('fast_vgs_plus', 'librispeech_train', 4, '0.5', 0.08048157587511133, 3.3531933248256337e-21)
('fast_vgs_plus', 'librispeech_train', 5, '0.5', 0.08872030217383811, 1.9629250681244315e-25)
('fast_vgs_plus', 'librispeech_train', 6, '0.5', 0.10362148297941227, 3.8999309871989466e-34)
('fast_vgs_plus', 'librispeech_train', 7, '0.5', 0.11633856687564573, 1.2281839714494536e-42)
('fast_vgs_plus', 'librispeech_train', 8, '0.5', 0.12194968167491331, 1.0483404044261771e-46)
('fast_vgs_plus', 'librispeech_train', 9, '0.5', 0.0864495752733463, 3.165369985274182e-24)
('fast_vgs_plus', 'librispeech_train', 10, '0.5', 0.08507594777621816, 1.6433910494736033e-23)
('fast_vgs_plus', 'librispeech_train', 11, '0.5', 0.08641082962219293, 3.317093303294777e-24)
('fast_vgs_plus', 'librispeech_train', 12, '0.5', 0.09025658347347024, 2.8722696047260167e-26)
('wav2vec_random', 'spokencoco_val', 0, '0.5', -0.031678756493462336, 0.00044258194327799835)
('wav2vec_random', 'spokencoco_val', 1, '0.5', -0.03167864915318808, 0.00044260178467505533)
('wav2vec_random', 'spokencoco_val', 2, '0.5', -0.0313436784754952, 0.0005087293667944156)
('wav2vec_random', 'spokencoco_val', 3, '0.5', -0.030868708742055335, 0.0006183925499234671)
('wav2vec_random', 'spokencoco_val', 4, '0.5', -0.03055322037926399, 0.0007029868657694411)
('wav2vec_random', 'spokencoco_val', 5, '0.5', -0.03100311141605184, 0.0005853156326563111)
('wav2vec_random', 'spokencoco_val', 6, '0.5', -0.031053951834510374, 0.000573238734805373)
('wav2vec_random', 'spokencoco_val', 7, '0.5', -0.03144719274723921, 0.0004873707316586337)
('wav2vec_random', 'spokencoco_val', 8, '0.5', -0.03168373813581417, 0.0004416620204268745)
('wav2vec_random', 'spokencoco_val', 9, '0.5', -0.031085879594332587, 0.0005657734762173288)
('wav2vec_random', 'spokencoco_val', 10, '0.5', -0.030856281761948864, 0.0006215371191624839)
('wav2vec_random', 'spokencoco_val', 11, '0.5', -0.030941975806811572, 0.0006001516636013816)
('wav2vec_small', 'spokencoco_val', 0, '0.5', -0.01866986133344454, 0.03843165082563962)
('wav2vec_small', 'spokencoco_val', 1, '0.5', -0.012745677948737296, 0.15758284292388103)
('wav2vec_small', 'spokencoco_val', 2, '0.5', -0.012781503120945175, 0.1564184544808081)
('wav2vec_small', 'spokencoco_val', 3, '0.5', -0.01190926674181549, 0.18666834894751044)
('wav2vec_small', 'spokencoco_val', 4, '0.5', -0.00971113762493992, 0.2815883773588439)
('wav2vec_small', 'spokencoco_val', 5, '0.5', -0.004010873600715944, 0.6565281574908705)
('wav2vec_small', 'spokencoco_val', 6, '0.5', 0.005279642284151556, 0.5582855124473569)
